type	count_method	population_size
2	cellbased	23367.69
2	centroidbased	20479.35
4	cellbased	545.11
4	centroidbased	182.52
5	cellbased	715.64
5	centroidbased	417.01
6	cellbased	184.1
6	centroidbased	111.1
7	cellbased	59.01
7	centroidbased	14.29
9	cellbased	2589.35
9	centroidbased	1086.55
10	cellbased	3780.54
10	centroidbased	1351.91
11	cellbased	1178.9
11	centroidbased	267.4
12	cellbased	7563.55
12	centroidbased	4699.96
14	cellbased	1705.83
14	centroidbased	1267.87
15	cellbased	11301.48
15	centroidbased	6597.43
16	cellbased	1.52
16	centroidbased	0.88
17	cellbased	10378.2
17	centroidbased	6501.68
18	cellbased	1300.29
18	centroidbased	748.79
19	cellbased	3713.54
19	centroidbased	2413.36
22	cellbased	207.15
22	centroidbased	74.8
23	cellbased	850.86
23	centroidbased	388.48
24	cellbased	34752.81
24	centroidbased	24506.47
25	cellbased	1683.9
25	centroidbased	915.88
26	cellbased	12911.9
26	centroidbased	8136.97
27	cellbased	1374.01
27	centroidbased	698.79
36	cellbased	1062.55
36	centroidbased	308.7
38	cellbased	29865.14
38	centroidbased	18258.88
39	cellbased	61319.58
39	centroidbased	43659.31
40	cellbased	2239.09
40	centroidbased	929.69
41	cellbased	3001.58
41	centroidbased	1418.04
42	cellbased	385.4
42	centroidbased	255.7
45	cellbased	476.89
45	centroidbased	168.34
47	cellbased	95.8
47	centroidbased	33.5
48	cellbased	30.25
48	centroidbased	9.4
49	cellbased	1128.95
49	centroidbased	464.6
50	cellbased	4816.69
50	centroidbased	2101.06
51	cellbased	3019.66
51	centroidbased	1265.24
52	cellbased	4235.47
52	centroidbased	2050.07
53	cellbased	98.45
53	centroidbased	44.5
55	cellbased	733.23
55	centroidbased	333.92
56	cellbased	425.57
56	centroidbased	201.05
58	cellbased	123.7
58	centroidbased	45.65
59	cellbased	27964.3
59	centroidbased	13890.45
60	cellbased	2251.6
60	centroidbased	685.05
61	cellbased	885.95
61	centroidbased	322.4
63	cellbased	36895.76
63	centroidbased	15747.71
64	cellbased	1445.24
64	centroidbased	1026.44
65	cellbased	1430.2
65	centroidbased	634.77
66	cellbased	362.27
66	centroidbased	194.42
67	cellbased	5969.64
67	centroidbased	2795.94
68	cellbased	39799
68	centroidbased	21975.49
69	cellbased	37884.21
69	centroidbased	18877.01
70	cellbased	3277.55
70	centroidbased	1485.4
71	cellbased	18561.47
71	centroidbased	12096.23
73	cellbased	1099.25
73	centroidbased	632
75	cellbased	7428.7
75	centroidbased	4490.95
79	cellbased	22.05
79	centroidbased	7.85
80	cellbased	3429.36
80	centroidbased	1834.3
81	cellbased	118.9
81	centroidbased	47.3
82	cellbased	1785.4
82	centroidbased	1089.47
83	cellbased	907.04
83	centroidbased	365.33
84	cellbased	100.5
84	centroidbased	27.8
86	cellbased	199.4
86	centroidbased	109.85
87	cellbased	9017.85
87	centroidbased	4589.55
88	cellbased	52649.61
88	centroidbased	25561.4
89	cellbased	3354.4
89	centroidbased	1637
91	cellbased	4778.5
91	centroidbased	3476.9
92	cellbased	249630.7
92	centroidbased	170385.5
95	cellbased	50472.45
95	centroidbased	32334.47
96	cellbased	814
96	centroidbased	473.45
97	cellbased	80.75
97	centroidbased	37.65
98	cellbased	56052.4
98	centroidbased	33914.05
99	cellbased	61601.35
99	centroidbased	38378.85
100	cellbased	4409.1
100	centroidbased	2834
101	cellbased	5875
101	centroidbased	3205.15
102	cellbased	69986.46
102	centroidbased	39211.52
103	cellbased	7857.91
103	centroidbased	3806.56
104	cellbased	47502.66
104	centroidbased	28903
105	cellbased	51163.65
105	centroidbased	29178.85
106	cellbased	10303.2
106	centroidbased	5714.7
107	cellbased	19
107	centroidbased	9
108	cellbased	846.6
108	centroidbased	568.6
109	cellbased	30550.55
109	centroidbased	15477.57
110	cellbased	4317.89
110	centroidbased	2276.4
111	cellbased	17630.98
111	centroidbased	4614.07
