type	count_method	population_size
2	cellbased	1169.44
2	centroidbased	533.35
4	cellbased	537.51
4	centroidbased	175.62
5	cellbased	489.74
5	centroidbased	271.36
6	cellbased	184.1
6	centroidbased	111.1
7	cellbased	99.36
7	centroidbased	23.24
9	cellbased	2621.25
9	centroidbased	1126.05
10	cellbased	3833.94
10	centroidbased	1350.01
11	cellbased	266
11	centroidbased	28
12	cellbased	2109.43
12	centroidbased	472.81
14	cellbased	1189.07
14	centroidbased	631.77
15	cellbased	7563.83
15	centroidbased	3146.73
16	cellbased	1.28
16	centroidbased	0.38
17	cellbased	7022.59
17	centroidbased	2990.43
18	cellbased	1048.91
18	centroidbased	433.33
19	cellbased	3178.44
19	centroidbased	1602.91
22	cellbased	232.65
22	centroidbased	80
23	cellbased	898.56
23	centroidbased	390.99
24	cellbased	18940.47
24	centroidbased	11984.61
25	cellbased	251.5
25	centroidbased	68.68
26	cellbased	4050.08
26	centroidbased	1774.93
27	cellbased	844.95
27	centroidbased	300.73
36	cellbased	482.6
36	centroidbased	165.2
38	cellbased	29095.72
38	centroidbased	17170.55
39	cellbased	23744.57
39	centroidbased	12104.66
40	cellbased	902.44
40	centroidbased	272.2
41	cellbased	3287.17
41	centroidbased	1347.68
42	cellbased	29.15
42	centroidbased	10.45
45	cellbased	29.9
45	centroidbased	6.65
47	cellbased	0.4
47	centroidbased	0.1
48	cellbased	0
48	centroidbased	0
49	cellbased	678.45
49	centroidbased	247.75
50	cellbased	1887.61
50	centroidbased	575.8
51	cellbased	3514.05
51	centroidbased	1414.53
52	cellbased	2426.38
52	centroidbased	820
53	cellbased	31.3
53	centroidbased	12.8
55	cellbased	1607.91
55	centroidbased	705.22
56	cellbased	65.35
56	centroidbased	22.4
58	cellbased	223.1
58	centroidbased	58.55
59	cellbased	18617.5
59	centroidbased	8848.95
60	cellbased	773.15
60	centroidbased	317.3
61	cellbased	691.2
61	centroidbased	235.8
63	cellbased	26257.7
63	centroidbased	10197.29
64	cellbased	1729
64	centroidbased	1095
65	cellbased	279.8
65	centroidbased	59.17
66	cellbased	321.47
66	centroidbased	136.37
67	cellbased	5426.14
67	centroidbased	2055.01
68	cellbased	40413.22
68	centroidbased	21899.06
69	cellbased	31207.05
69	centroidbased	14809.15
70	cellbased	5045.2
70	centroidbased	2208.45
71	cellbased	24042.46
71	centroidbased	15540.65
73	cellbased	3934.12
73	centroidbased	2264.23
75	cellbased	8418.59
75	centroidbased	5021.84
79	cellbased	43.25
79	centroidbased	15.9
80	cellbased	4111.15
80	centroidbased	1968.29
81	cellbased	193.05
81	centroidbased	80.25
82	cellbased	1665.4
82	centroidbased	910.92
83	cellbased	1121.85
83	centroidbased	422.13
84	cellbased	87.3
84	centroidbased	23.65
86	cellbased	190.36
86	centroidbased	106.69
87	cellbased	8854.64
87	centroidbased	4275.22
88	cellbased	52355.59
88	centroidbased	23093.95
89	cellbased	4244.65
89	centroidbased	1962.65
91	cellbased	116.7
91	centroidbased	29
92	cellbased	152038.28
92	centroidbased	89597.19
95	cellbased	31237.53
95	centroidbased	15976.01
96	cellbased	52.2
96	centroidbased	10.5
97	cellbased	3
97	centroidbased	0
98	cellbased	39968.35
98	centroidbased	22426.97
99	cellbased	39221.8
99	centroidbased	21197.4
100	cellbased	4027.7
100	centroidbased	2455.6
101	cellbased	7393.6
101	centroidbased	3302.6
102	cellbased	67237.84
102	centroidbased	36049.28
103	cellbased	7091.12
103	centroidbased	3089.5
104	cellbased	48359.94
104	centroidbased	28793.75
105	cellbased	47295.05
105	centroidbased	26400.15
106	cellbased	9436.5
106	centroidbased	4994.2
107	cellbased	0
107	centroidbased	0
108	cellbased	455.1
108	centroidbased	202.9
109	cellbased	30322.47
109	centroidbased	14512.29
110	cellbased	4142.26
110	centroidbased	1910.02
111	cellbased	9044.52
111	centroidbased	2019.93
