type,drop_phab10,approach_cellbased,type_areaprop_phab10,type_level3prop_nolevel0avail,prop0.3,area_as_cells,area_pol_as_cells,success_rate,nr_polygons,mean_area_per_polygon,area,area_pol,area_pol_phab_greaterthan_10,area_phab_greaterthan_10,nr_polygons_phab_greaterthan_10,mean_area_per_polygon_phab_greaterthan_10,area_as_cells_phab_greaterthan_10,area_pol_as_cells_phab_greaterthan_10,success_rate_phab_greaterthan_10,polygonarea_reldiff
1140,FALSE,FALSE,7.581128248715181e-4,0.006299212598425197,0.014532460818925497,20470.7260392441,20845.5557372734,0.98,62,338097.152648161,2096.2023464186,2134.5849074968,2111.58180956918,2094.61318853625,45,465469.5974525007,20455.2069192993,20620.916109074,0.9919640238630438,0.010893775378900432
1310_pol,TRUE,FALSE,0.01896528322812959,0.2549019607843137,0.3285276045107198,169.836711747736,267.468538814563,0.63,137,1269.43644401228,17.3912792829682,27.3887783746113,21.6850797716455,17.0614487456672,130,1312.4191342820916,166.615710406906,211.768357144976,0.7867828444872046,0.2630241005810692
1310_zk,FALSE,FALSE,0.09131058776335718,0.12244897959183673,0.22557466170300774,420.695522672971,1115.89700829849,0.38,110,3916.29286561021,43.0792215217123,114.267853649765,61.1124361639191,39.1456324841769,86,3916.2928656102067,420.695522672971,1115.89700829849,0.3770021064170112,0
1310_zv,FALSE,FALSE,0.10806331392449724,0.21428571428571427,0.17779122510139433,103.667995999798,208.387928718435,0.5,11,9650.54799125391,10.6156027903793,21.3389239007678,9.86735173242249,9.46844557354477,10,9650.547991253907,103.667995999798,208.387928718435,0.497476013305308,0
1320,FALSE,TRUE,0.3715114512693852,0.6,1,15.1096439698693,119.685998875308,0.13,36,429.785428476281,1.54722754251461,12.2558462848315,2.5866592803458,0.972414792751045,26,429.7854284762813,15.1096439698693,119.685998875308,0.12624403950215532,0
1330_da,FALSE,FALSE,0.0053046625566117046,0.07746478873239436,0.1575610756116242,1076.46417446459,1318.01679311525,0.82,543,2030.01715405477,110.229931465174,134.964919615001,128.424659401062,109.645198875113,528,2076.613615058958,1070.75389526478,1254.1470644635,0.8537706028302384,0.05092682545891926
1330_hpr,TRUE,FALSE,0.025341790789826513,0.13768115942028986,0.27000233652658634,1332.05512047314,2085.81338751722,0.64,635,2148.06998955039,136.40244433645,213.587290881763,162.196747157232,132.945762128854,612,2172.3163746544838,1298.29845828959,1583.95260895734,0.8196573880731307,0.31684077902446445
2110,FALSE,FALSE,0.0010334159685852539,0,0.36928952666887954,262.111549256541,280.572333200257,0.93,284,945.078262108092,26.8402226438698,28.7306069197063,28.4532357729007,26.8124855291893,283,947.4376512081009,261.840678995989,277.863630594733,0.9423351967134044,0.00974831646633867
2120,TRUE,FALSE,0.03539614250278811,0.18783542039355994,0.1762547856327797,4703.35353651111,9397.23377442054,0.5,482,9992.18676636386,481.623402138738,962.276738500663,720.126782542868,464.575791563957,393,11821.266960914949,4536.87296449177,7032.4881107702,0.6451305559327699,0.3362601722751229
2130_had,TRUE,FALSE,0.029931008886406513,0.10227272727272728,0.12051729318531193,1261.20756013175,1880.58724229485,0.67,43,30034.3381761607,129.147654157491,192.572133610993,153.547078502589,125.282134573245,40,31320.53364331113,1223.45834544184,1499.48318850184,0.8159200148580652,0.25415693668014927
2130_hd,TRUE,FALSE,0.03815734419579361,0.13573407202216067,0.2222186441959963,6636.32724618895,15540.4318093513,0.43,1078,6303.89526910713,679.559910009749,1591.34021727757,1116.73155285189,653.629708621844,970,6738.450604348912,6383.1026232602,10905.5815708192,0.5853060271760179,0.42499798918875203
2150,FALSE,TRUE,1,1,1,0.957312722037201,47.86563610186,0.02,1,980.288227366094,0.0980288227366094,4.90144113683047,0,0,0,980.2882273660936,0.957312722037201,47.86563610186,0.02,0
2160,TRUE,FALSE,0.03378553907279736,0.17420435510887772,0.15564766760054502,6496.0983342073,12976.7631312556,0.5,1057,6293.28731715069,665.200469422828,1328.82054464058,1008.1341550314,642.7263129719,915,7024.331289310381,6276.62415011621,9845.06010772852,0.6375404600312152,0.3180989236488922
2170,FALSE,FALSE,0.18838139461571315,0.3850267379679144,0.49050474924628,760.676646774736,4091.5463263803,0.19,236,3300.56307753106,77.8932886297329,418.974343821343,174.028915532454,63.2196422864596,172,3300.563077531056,760.676646774736,4091.5463263803,0.18591422071168104,0
2180,TRUE,FALSE,0.03222297936430528,0.15966386554621848,0.10417431458328012,2433.94542564069,4418.47545619923,0.55,200,12461.8005792804,249.236011585607,452.451886714802,273.324120080015,241.204884727442,185,13038.101877159044,2355.51645241643,2669.18086015639,0.882486641342998,0.6553675781791529
2190_mp,TRUE,FALSE,0.021428018643126358,0.21875,0.4088105374847027,72.6811545056336,148.884089234705,0.49,45,1653.90004919486,7.44255022137688,15.2457307376338,13.3249078401187,7.28307111648081,42,1734.064551543051,71.123741371883,130.126053126159,0.5465757214885112,0.1441528092023166
2190_overig,TRUE,FALSE,0.036329309817338826,0.2980769230769231,0.25914091672305345,396.195855327314,922.206743246866,0.43,153,2651.66376375928,40.570455585517,94.4339705084791,63.3671958465599,39.0965589351201,132,2961.860525387889,381.802333350783,618.820271939062,0.6169842047262156,0.49026588989586334
2310,TRUE,FALSE,0.013015175568265657,0.11604499703966845,0.08388203016439888,24543.9350685256,35116.4124513375,0.7,1891,13290.8458541355,2513.29895101702,3595.92063501696,3170.09263099216,2480.58792391399,1793,13834.84620141659,24224.4914444726,30957.9358495328,0.782496984366553,0.13432667546106705
2330_bu,TRUE,FALSE,0.03771876095139726,0.22800718132854578,0.18856088762870232,8157.99090982064,16742.1731084788,0.49,797,10481.5341175111,835.378269165634,1714.39852630823,1324.91546769715,803.868835926983,677,11873.985759630476,7850.28160084945,12938.6276142299,0.6067321693543204,0.2939682327718996
2330_dw,FALSE,FALSE,0.10053289103190982,0.504950495049505,0.3712343403776237,688.498300277338,2411.40038779336,0.29,220,3204.64663401815,70.5022259483994,246.92739971004,125.127664642094,63.4144333496219,170,3204.6466340181532,688.498300277338,2411.40038779336,0.28551803498189415,0
3270,FALSE,FALSE,0.04791923178775683,0.31092436974789917,0.329536764346963,297.050071036484,1310.72955697919,0.23,219,1388.94645087379,30.4179272741359,134.218706634669,41.3872978949515,28.9603235665835,211,1388.946450873786,297.050071036484,1310.72955697919,0.2266295663012954,0
4010,FALSE,FALSE,0.008718592988177684,0.1340621403912543,0.10925997031258984,18346.4684031653,26729.3804636329,0.69,2612,7192.48990996987,1878.67836448413,2737.08855947601,2527.24132922413,1862.2989324685,2495,7464.1239778296485,18186.5130123877,24680.0911057044,0.7368900274514858,0.08303410830824803
4030,FALSE,FALSE,0.00886969439923858,0.17394866193336975,0.07981153102277008,43780.4189745147,58074.9000418084,0.75,3420,13108.5231081588,4483.11490299031,5946.86976428118,5421.47566091437,4443.35104384411,3163,14047.900865773358,43392.1000375402,52944.0982511169,0.8195833241266846,0.09690979656232648
