scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	typegroup	power_conf80	power_conf90	p_power_conf80_0.8_	p_power_conf90_0.9_
GW_05.1_aq_S01	1	20	121	6081	121/6081	GW_05.1_aq_group1	0 (0 | 0.37)	0 (0 | 0.1)	0	0
GW_05.1_aq_S01	1	20	121	6081	121/6081	GW_05.1_aq_group2	0 (0 | 0.03)	0 (0 | 0)	0	0
GW_05.1_aq_S01	1	20	121	6081	121/6081	GW_05.1_aq_group3	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S01	1	20	121	6081	121/6081	GW_05.1_aq_group4	0.2 (0.1 | 0.33)	0.07 (0 | 0.13)	0.0666666666666667	0
GW_05.1_aq_S01	1	20	121	6081	121/6081	GW_05.1_aq_group5	0 (0 | 0.03)	0 (0 | 0)	0	0
GW_05.1_aq_S02	2	20	121	6081	121/6081	GW_05.1_aq_group1	0.13 (0 | 0.67)	0 (0 | 0.27)	0.2	0.133333333333333
GW_05.1_aq_S02	2	20	121	6081	121/6081	GW_05.1_aq_group2	0.07 (0 | 0.07)	0 (0 | 0.03)	0	0
GW_05.1_aq_S02	2	20	121	6081	121/6081	GW_05.1_aq_group3	0.73 (0.5 | 0.93)	0.27 (0.07 | 0.37)	0.4	0
GW_05.1_aq_S02	2	20	121	6081	121/6081	GW_05.1_aq_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S02	2	20	121	6081	121/6081	GW_05.1_aq_group5	0.07 (0 | 0.27)	0 (0 | 0.03)	0	0
GW_05.1_aq_S03	3	20	121	6081	121/6081	GW_05.1_aq_group1	1 (0.9 | 1)	1 (0.33 | 1)	0.8	0.533333333333333
GW_05.1_aq_S03	3	20	121	6081	121/6081	GW_05.1_aq_group2	0.2 (0.1 | 0.4)	0.07 (0 | 0.07)	0.0666666666666667	0
GW_05.1_aq_S03	3	20	121	6081	121/6081	GW_05.1_aq_group3	1 (1 | 1)	1 (1 | 1)	1	0.933333333333333
GW_05.1_aq_S03	3	20	121	6081	121/6081	GW_05.1_aq_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S03	3	20	121	6081	121/6081	GW_05.1_aq_group5	0.33 (0.2 | 0.77)	0.07 (0.03 | 0.5)	0.2	0.0666666666666667
GW_05.1_aq_S04	1	40	221	6081	221/6081	GW_05.1_aq_group1	0 (0 | 0.13)	0 (0 | 0)	0.0666666666666667	0
GW_05.1_aq_S04	1	40	221	6081	221/6081	GW_05.1_aq_group2	0 (0 | 0.03)	0 (0 | 0)	0	0
GW_05.1_aq_S04	1	40	221	6081	221/6081	GW_05.1_aq_group3	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S04	1	40	221	6081	221/6081	GW_05.1_aq_group4	0.13 (0.03 | 0.43)	0 (0 | 0.17)	0.133333333333333	0
GW_05.1_aq_S04	1	40	221	6081	221/6081	GW_05.1_aq_group5	0 (0 | 0.03)	0 (0 | 0)	0	0
GW_05.1_aq_S05	2	40	221	6081	221/6081	GW_05.1_aq_group1	0.13 (0 | 0.87)	0 (0 | 0.23)	0.266666666666667	0.2
GW_05.1_aq_S05	2	40	221	6081	221/6081	GW_05.1_aq_group2	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S05	2	40	221	6081	221/6081	GW_05.1_aq_group3	0.8 (0.67 | 0.97)	0.13 (0.07 | 0.37)	0.4	0.0666666666666667
GW_05.1_aq_S05	2	40	221	6081	221/6081	GW_05.1_aq_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S05	2	40	221	6081	221/6081	GW_05.1_aq_group5	0 (0 | 0.2)	0 (0 | 0)	0.133333333333333	0
GW_05.1_aq_S06	3	40	221	6081	221/6081	GW_05.1_aq_group1	1 (1 | 1)	1 (0.5 | 1)	0.866666666666667	0.6
GW_05.1_aq_S06	3	40	221	6081	221/6081	GW_05.1_aq_group2	0.2 (0 | 0.37)	0 (0 | 0.07)	0.133333333333333	0
GW_05.1_aq_S06	3	40	221	6081	221/6081	GW_05.1_aq_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S06	3	40	221	6081	221/6081	GW_05.1_aq_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S06	3	40	221	6081	221/6081	GW_05.1_aq_group5	0.4 (0.1 | 0.9)	0.07 (0 | 0.4)	0.333333333333333	0.133333333333333
GW_05.1_aq_S07	1	80	397	6081	397/6081	GW_05.1_aq_group1	0 (0 | 0.2)	0 (0 | 0)	0.0666666666666667	0
GW_05.1_aq_S07	1	80	397	6081	397/6081	GW_05.1_aq_group2	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S07	1	80	397	6081	397/6081	GW_05.1_aq_group3	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S07	1	80	397	6081	397/6081	GW_05.1_aq_group4	0.27 (0.03 | 0.53)	0 (0 | 0.13)	0.0666666666666667	0
GW_05.1_aq_S07	1	80	397	6081	397/6081	GW_05.1_aq_group5	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S08	2	80	397	6081	397/6081	GW_05.1_aq_group1	0.13 (0 | 0.83)	0 (0 | 0.1)	0.266666666666667	0.2
GW_05.1_aq_S08	2	80	397	6081	397/6081	GW_05.1_aq_group2	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S08	2	80	397	6081	397/6081	GW_05.1_aq_group3	1 (0.87 | 1)	0.13 (0.03 | 0.2)	0.733333333333333	0
GW_05.1_aq_S08	2	80	397	6081	397/6081	GW_05.1_aq_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S08	2	80	397	6081	397/6081	GW_05.1_aq_group5	0 (0 | 0.33)	0 (0 | 0.03)	0.133333333333333	0
GW_05.1_aq_S09	3	80	397	6081	397/6081	GW_05.1_aq_group1	1 (1 | 1)	1 (0.5 | 1)	0.866666666666667	0.6
GW_05.1_aq_S09	3	80	397	6081	397/6081	GW_05.1_aq_group2	0.07 (0 | 0.47)	0 (0 | 0.03)	0.133333333333333	0
GW_05.1_aq_S09	3	80	397	6081	397/6081	GW_05.1_aq_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S09	3	80	397	6081	397/6081	GW_05.1_aq_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S09	3	80	397	6081	397/6081	GW_05.1_aq_group5	0.6 (0.13 | 0.97)	0.07 (0 | 0.4)	0.4	0.133333333333333
