scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	statistic	typegroup	avg	pctile_l	pctile_u	p_stat_0.1_	p_stat_0.05_
GW_05.1_terr_S01	1	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0673939108855195	0.0561685251639106	0.0786035231202468	0.999863377210536	0.0282691612506672
GW_05.1_terr_S01	1	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group2	0.105940412865594	0.0669693240186975	0.177990692534187	0.555403133779313	0.0353070986214392
GW_05.1_terr_S01	1	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0787930660577112	0.0700718842325663	0.0882591227422631	0.992092219271484	0.0000192903516293868
GW_05.1_terr_S01	1	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group4	0.148816466177118	0.11358355203666	0.193084303121669	0.0463852444176941	0.000462464479999364
GW_05.1_terr_S01	1	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group5	0.115583958793296	0.0755432300260263	0.175555769086355	0.413010582512658	0.0215883261283504
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0678074184340391	0.0585918709829229	0.0783194259654914	0.999869884947367	0.0125486481645073
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group2	0.105950251453286	0.0681981474286049	0.17170129962855	0.581468837616463	0.0205496465957701
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group3	0.078842045655674	0.0687453474886577	0.0894283926732512	0.993718377455948	0.000106423066761008
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group4	0.145940157703132	0.111777504772393	0.182047583670037	0.0486893573234115	0.0000877915281109053
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group5	0.121151717460602	0.0745807006210585	0.185910348355766	0.377821357628191	0.0262260717704871
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0672056726135322	0.0556919247156656	0.0785176726327724	0.999748405623523	0.0282461274537433
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group2	0.102047166445535	0.0672151203553191	0.167880110281619	0.603489634746536	0.0224487741293563
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group3	0.079880105881401	0.0703985389326578	0.0904462203383026	0.988552370858989	0.0000759223059702465
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group4	0.144577911092775	0.111587595755433	0.183297855058551	0.0537180189560602	0.0000743753425045374
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	twosided_errmarg90	GW_05.1_terr_group5	0.115935805389843	0.0723517739420578	0.176388502766067	0.419627298648099	0.0364832811537654
GW_05.1_terr_S04	1	10	434	330040	434/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0527327509836641	0.0464352173997375	0.058917816895488	1	0.283150774333228
GW_05.1_terr_S04	1	10	434	330040	434/330040	twosided_errmarg90	GW_05.1_terr_group2	0.0842364427301407	0.0603568373273104	0.12382046856898	0.771225838510822	0.0496496013263684
GW_05.1_terr_S04	1	10	434	330040	434/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0671671467282336	0.0607008062568941	0.0738859411591175	0.999999999890047	0.000679475303363812
GW_05.1_terr_S04	1	10	434	330040	434/330040	twosided_errmarg90	GW_05.1_terr_group4	0.131322872829894	0.100217379673289	0.166999658117141	0.120886025493499	0.00122705968090855
GW_05.1_terr_S04	1	10	434	330040	434/330040	twosided_errmarg90	GW_05.1_terr_group5	0.110265070619601	0.0623806250906329	0.178695573872219	0.469485274187432	0.0591299044778409
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0541662891806131	0.0478636772337163	0.0607380149416152	0.999999999999986	0.22736472721798
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	twosided_errmarg90	GW_05.1_terr_group2	0.0911584117152654	0.0629358152649305	0.129187128495701	0.699487249348289	0.0320868915098564
