rank,x,y,date,nh4,no3,po4,po4f,period_min,period_max,source
238515,223950,218080,2000-04-03,2.5,5.5,0.08,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2000-04-05,0.7,1.88,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2000-04-25,0.33,13.7,0.16,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2000-04-27,NA,16.6,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2000-04-27,2.38,5.09,0.17,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2000-04-25,0.41,3.58,0.18,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2000-05-03,0.55,1.67,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2000-01-20,1,4.18,0.16,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2000-02-28,2,6.4,0.05,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2000-03-09,0.89,2.89,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2000-03-20,NA,17.6,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2000-03-20,9.84,1.47,0.23,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2000-03-21,0.25,4.14,0,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2000-03-21,0.05,14.2,0,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2000-05-30,0.28,14.8,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2000-06-20,0.17,1.25,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2000-06-27,0.37,3.3,0,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2000-06-27,0.09,14.4,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2000-06-29,NA,10.9,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2000-06-29,2.56,3.67,0.21,NA,2000-01-01,2006-12-31,H3260_v1_0
38402,197860,216731,2000-01-17,0.82,1.64,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123559,185896,209550,2000-01-14,2.29,2.36,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
212371,244877,161556,2000-01-20,0.35,9.25,0.17,NA,2000-01-01,2006-12-31,H3260_v1_0
123559,185896,209550,2000-02-07,0.89,2.17,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
38402,197860,216731,2000-02-07,1.02,1.75,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
124176,204796,204545,2000-02-08,0.36,1.86,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
124176,204796,204545,2000-02-18,0.2,1.3,0.06,NA,2000-01-01,2006-12-31,H3260_v1_0
204986,244766,184401,2000-02-17,4.03,1.12,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
