loc_code	codeplas	index_0m	index_50m	index_100m	index_150m	index_200m
AN_BPE_001_gracht	-	NA	NA	NA	NA	NA
AN_GRD_002	-	NA	NA	NA	NA	NA
AN_KSV_003	-	NA	NA	NA	NA	NA
AN_SNE_005	-	NA	NA	NA	NA	NA
ANTANT0315	-	NA	NA	NA	NA	NA
ANTANT0319	-	NA	NA	NA	NA	NA
ANTBRM0350	-	NA	NA	NA	NA	NA
ANTKAL0057	-	NA	NA	NA	NA	NA
ANTKAL0093	-	NA	NA	NA	NA	NA
ANTKAL0126	-	NA	NA	NA	NA	NA
ANTKAL0232	-	NA	NA	NA	NA	NA
ANTKAL0233	-	NA	NA	NA	NA	NA
ANTKAL0235	-	NA	NA	NA	NA	NA
ANTKAL0247	-	NA	NA	NA	NA	NA
ANTKAL0248	-	NA	NA	NA	NA	NA
ANTKAL0249	-	NA	NA	NA	NA	NA
ANTKAL0250	-	NA	NA	NA	NA	NA
ANTKAL0253	-	NA	NA	NA	NA	NA
ANTKAL0255	-	NA	NA	NA	NA	NA
ANTKAL0257	-	NA	NA	NA	NA	NA
ANTKAL0258	-	NA	NA	NA	NA	NA
ANTKAL0259	-	NA	NA	NA	NA	NA
ANTKAL0260	-	NA	NA	NA	NA	NA
ANTKAL0267	-	NA	NA	NA	NA	NA
ANTMRK0177	-	NA	NA	NA	NA	NA
ANTRAV0188	-	NA	NA	NA	NA	NA
ANTRAV0230	-	NA	NA	NA	NA	NA
ANTRAV0293	-	NA	NA	NA	NA	NA
ANTTUR0018	-	NA	NA	NA	NA	NA
ANTTUR0046	-	NA	NA	NA	NA	NA
ANTTUR0065	-	NA	NA	NA	NA	NA
ANTTUR0079	-	NA	NA	NA	NA	NA
ANTTUR0094	-	NA	NA	NA	NA	NA
ANTTUR0277	-	NA	NA	NA	NA	NA
ANTTUR0287	-	NA	NA	NA	NA	NA
ANTTUR0296	-	NA	NA	NA	NA	NA
ANTTUR0301	-	NA	NA	NA	NA	NA
ANTTUR0304	-	NA	NA	NA	NA	NA
ANTTUR0305	-	NA	NA	NA	NA	NA
LI_EKS_002	-	NA	NA	NA	NA	NA
LI_HAL_001	-	NA	NA	NA	NA	NA
LI_LAK_001	-	NA	NA	NA	NA	NA
LI_TER_001	-	NA	NA	NA	NA	NA
Modderven	-	NA	NA	NA	NA	NA
OV_KRA_BLO	-	NA	NA	NA	NA	NA
OV_SPA_001	-	NA	NA	NA	NA	NA
OV_STO_001	-	NA	NA	NA	NA	NA
OV_TOLYPELLA_001	-	NA	NA	NA	NA	NA
OV_TOLYPELLA_002	-	NA	NA	NA	NA	NA
OV_TOLYPELLA_003	-	NA	NA	NA	NA	NA
OV_TOLYPELLA_004	-	NA	NA	NA	NA	NA
OVLBVN0053	-	NA	NA	NA	NA	NA
OVLBVN0180	-	NA	NA	NA	NA	NA
OVLBVN0184	-	NA	NA	NA	NA	NA
OVLBVN0197	-	NA	NA	NA	NA	NA
OVLBVN0213	-	NA	NA	NA	NA	NA
OVLBVN0217	-	NA	NA	NA	NA	NA
OVLBVN0228	-	NA	NA	NA	NA	NA
OVLBVN0301	-	NA	NA	NA	NA	NA
OVLBVN0302	-	NA	NA	NA	NA	NA
OVLBVN0304	-	NA	NA	NA	NA	NA
OVLBVN0305	-	NA	NA	NA	NA	NA
OVLBVN0468	-	NA	NA	NA	NA	NA
OVLBVN0469	-	NA	NA	NA	NA	NA
OVLBVN0470	-	NA	NA	NA	NA	NA
OVLBVN0471	-	NA	NA	NA	NA	NA
OVLSTL0322	-	NA	NA	NA	NA	NA
VB_DIE_001	-	NA	NA	NA	NA	NA
VB_TOR_002	-	NA	NA	NA	NA	NA
VB_VOR_001	-	NA	NA	NA	NA	NA
WV_DDP_001	-	NA	NA	NA	NA	NA
WV_DDP_002	-	NA	NA	NA	NA	NA
WV_DIE_gracht	-	NA	NA	NA	NA	NA
WV_DIE_inlaatpolder	-	NA	NA	NA	NA	NA
WV_DIE_polder	-	NA	NA	NA	NA	NA
WV_DOP_007	-	NA	NA	NA	NA	NA
WV_LIS_001	-	NA	NA	NA	NA	NA
WV_POB_002	-	NA	NA	NA	NA	NA
WV_SKO_001	-	NA	NA	NA	NA	NA
WV_VLI_001	-	NA	NA	NA	NA	NA
WV_ZWI_028	-	NA	NA	NA	NA	NA
WV_ZWI_039	-	NA	NA	NA	NA	NA
WV_ZWI_047	-	NA	NA	NA	NA	NA
WV_ZWI_071	-	NA	NA	NA	NA	NA
WV_ZWI_107	-	NA	NA	NA	NA	NA
WV_ZWI_117	-	NA	NA	NA	NA	NA
WV_ZWI_118	-	NA	NA	NA	NA	NA
WV_ZWI_122	-	NA	NA	NA	NA	NA
WV_ZWI_179	-	NA	NA	NA	NA	NA
WV_ZWI_GEULNZ	-	NA	NA	NA	NA	NA
WV_ZWI_GEULOW	-	NA	NA	NA	NA	NA
WVLKNO0102	-	NA	NA	NA	NA	NA
WVLKNO0352	-	NA	NA	NA	NA	NA
xxx	-	NA	NA	NA	NA	NA
AN_BPE_001	ANTANT0297	2.72375	3.043754972	2.891198502	2.742627978	2.621626153
AN_HOP_001	ANTANT0383	2.304810361	2.051401869	2.036310518	2.154116466	2.225948509
AN_RAV_002	ANTARE0025	2.893034826	3.814917127	3.675046555	3.55806142	3.282841823
NA	ANTARE0177	2.342741935	2.579831933	3.123626374	3.813443073	3.909765848
AN_ARE_001	ANTARE0200	3.032974001	4.113402062	3.06097561	1.890736342	2.273786408
NA	ANTARE0262	2.27016129	3.918803419	2.420323326	4.068553459	2.795454545
AN_GRD_001	ANTARE0286	2.214891041	3.507042254	3.217741935	2.66507177	3.313400576
AN_GRD_003	ANTARE0309	2	2.514705882	3.744988864	3.578304598	3.28115216
AN_MOE_001	ANTBAA0036	2	2.512295082	2.418987342	3.060885609	3.010847458
