rank	ecoregion	soilclass	x	y	date	nh4	no3	po4	po4f	period_min	period_max	source	year	sixyear	type	target
5547	5	4	152305	226350	14273	0.158	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14301	0.171	0.134	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14328	0	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14362	0	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14390	0	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14419	0.129	0.118	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14453	0.23	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14480	2.02	4.92	0.072	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14515	8.8	0	0.095	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14544	9.9	0	0.089	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14573	6.7	0	0.082	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14599	0.31	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5547	5	4	152305	226350	14637	0.4	0.1	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5547	5	4	152305	226350	14665	0.26	0.13	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5547	5	4	152305	226350	14699	0	0.11	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5547	5	4	152305	226350	14728	0	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5547	5	4	152305	226350	14756	0	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5547	5	4	152305	226350	14790	0.34	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5547	5	4	152305	226350	14819	0.2	0.19	0.036	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5547	5	4	152305	226350	14881	3.5	0	0.026	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5547	5	4	152305	226350	14938	0.25	0.18	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5547	5	4	152305	226350	14964	0.33	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5547	5	4	152305	226350	14910	2	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	14301	0.124	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14328	0	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14362	0	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14390	0	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14419	0.515	0.186	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14453	0	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14515	0.18	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14273	0.142	0.109	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14699	0.11	0.18	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	14728	0	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	14756	0	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	14790	0	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	14819	0	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	14846	0	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	14881	0	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	14910	0.29	0.32	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	15370	0.33	2.9	0.045	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	15399	0.23	0.2	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	15427	0	0.1	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	15455	0	0	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	15491	0	0	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	14480	0	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14938	0.3	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	14964	0.32	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	15609	0	0	0.024	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	15638	0.24	0.11	0.036	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	15672	0.14	0.2	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	15691	0.46	0.27	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	14544	0	0	0.049	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14573	0	0	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
5572	5	NA	154668	226184	14637	0.44	0.12	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	14665	0.28	0	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
5572	5	NA	154668	226184	15519	0.19	0	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	15552	0	0	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
5572	5	NA	154668	226184	15582	0.11	0	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
9547	3	2	74383	203895	13362	0	0	0.05	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13411	0	0	0.05	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13166	0	11	0.05	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13230	0	8.6	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13278	0.33	1.9	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13460	0.28	3.1	0.04	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13362	0	0	0.05	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13411	0	0	0.05	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13166	0	11	0.05	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13230	0	8.6	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13278	0.33	1.9	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13460	0.28	3.1	0.04	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13362	0	0	0.05	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13411	0	0	0.05	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13166	0	11	0.05	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13230	0	8.6	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13278	0.33	1.9	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9547	3	2	74383	203895	13460	0.28	3.1	0.04	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13362	0.73	0	0.09	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13411	0.32	2.9	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13166	0	10	0.03	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13230	0	7.7	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13278	0.43	3.1	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13460	0	3.5	0.04	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13362	0.73	0	0.09	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13411	0.32	2.9	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13166	0	10	0.03	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13230	0	7.7	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13278	0.43	3.1	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
9549	3	2	74511	203801	13460	0	3.5	0.04	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	11635	0.46	2.12	0.24	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	11659	0.51	2.11	0.17	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	11694	0.99	2.63	0.21	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11722	0.55	2.64	0.15	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11752	0.39	1.96	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11781	0.34	2.27	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11387	0.93	2.31	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	11932	0.15	4.23	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11962	0	8.89	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11327	0.38	1.9	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	11354	0.9	1.86	0.18	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	11444	0.67	1.92	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	11484	1.84	4.06	0.21	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	11512	0.23	3.05	0.19	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	11551	0.27	6.57	0.2	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	11582	0.34	2.4	0.26	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	11611	0.76	4.37	0.19	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	12032	0.85	3.55	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11813	0.63	2.11	0.15	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11843	0.8	2.75	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11872	0.82	1.99	0.36	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11904	0.42	2.9	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	12004	0.63	2.72	0.15	NA	2000-01-01	2006-12-31	H3260_v1_0	2002	2	3260	1
33385	5	2	183472	213552	11415	0.41	2.43	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2001	2	3260	1
33385	5	2	183472	213552	13160	2.08	1.37	0.219	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13188	2.58	1.46	0.173	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13216	0.954	2.24	0.23	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13245	0.42	1.76	0.12	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13273	0.25	2.23	0.077	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13308	0.246	4.07	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13336	1.03	2.54	0.116	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13362	4.28	1.98	0.189	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13398	0	2.87	0	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13425	0	2.19	0.086	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13462	0	6.27	0.085	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13488	0.324	2.59	0.161	NA	2000-01-01	2006-12-31	H3260_v1_0	2006	2	3260	1
33385	5	2	183472	213552	13528	0.349	3.35	0.104	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13553	1.41	2.48	0.126	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13581	0.777	2.48	0.136	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13609	0.635	3.28	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13644	1.68	1.76	0.075	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13672	0	2.59	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13700	0.236	2.12	0.19	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13733	0.248	3.34	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13767	0	3.28	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13791	0	2.23	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13826	2.52	2.41	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13850	0.439	2.04	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13899	0.736	2.17	0.096	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	13927	1.54	2.78	0.071	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	13955	0.544	1.64	0.17	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	13983	0.801	2.41	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14018	0.5	1.66	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14039	0.312	1.12	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14074	0	1.84	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14104	0.115	3.29	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14133	0	1.66	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14160	0.138	1.36	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
